# Wii nunchuk ready.
# UNO Ready
time, accx, accy, accz, daccx, daccy, daccz, tiltx, tilty, tiltz, acc
249, -1.0,  0.0,  0.2, 2297, 2516, 2563, -154, 1, 25,   1.04
352, -1.0,  0.0,  0.2, -1, 0, 0, -154, 1, 24,   1.04
455, -1.0,  0.0,  0.2, 1, 0, 0, -154, 1, 25,   1.04
557, -1.0,  0.0,  0.2, -1, 0, 0, -154, 1, 24,   1.04
659, -1.0,  0.0,  0.2, 0, 0, 0, -154, 1, 24,   1.04
761, -1.0,  0.0,  0.2, 1, 0, 0, -154, 1, 25,   1.04
863, -1.0,  0.0,  0.2, -1, 0, 0, -154, 1, 24,   1.04
966, -1.0,  0.0,  0.2, 0, 0, 0, -154, 1, 24,   1.04
1068, -1.0,  0.0,  0.2, 1, 0, 0, -154, 1, 25,   1.04
1170, -1.0,  0.0,  0.2, 0, 0, 0, -154, 1, 25,   1.04
1272, -1.1,  0.0,  0.2, -9, 0, -7, -159, 1, 20,   1.08
1374, -1.0, -0.0,  0.2, 12, -8, 11, -152, -2, 27,   1.03
1477, -1.0,  0.0,  0.2, -1, 8, -4, -154, 1, 25,   1.03
1579, -1.2, -0.2,  0.1, -35, -40, -31, -160, -18, 7,   1.19
1681, -1.1,  0.3,  0.3, 11, 90, 44, -141, 26, 28,   1.19
1784, -0.8,  0.4,  0.6, 59, 16, 57, -103, 38, 63,   1.06
1886, -0.4,  0.1,  0.8, 80, -46, 51, -56, 14, 121,   0.93
1988,  0.1, -0.3,  0.9, 105, -81, 15, 9, -36, 141,   0.93
2091,  0.1, -0.2,  0.8, 3, 15, -25, 12, -31, 145,   0.80
2193,  0.4, -0.4,  0.8, 58, -38, 3, 46, -51, 108,   0.95
2295,  0.5, -0.2,  0.7, 28, 49, -11, 69, -20, 106,   0.90
2398,  0.3, -0.3,  0.7, -43, -24, -2, 42, -40, 119,   0.82
2500,  0.5, -0.0,  0.6, 51, 47, -20, 83, -6, 96,   0.83
2602,  0.6,  0.2,  0.7, 11, 45, 12, 81, 22, 93,   0.92
2704,  0.7,  0.4,  0.6, 27, 38, -12, 91, 42, 73,   1.03
2806,  0.7,  0.4,  0.6, -12, 13, 0, 83, 51, 74,   1.02
2908,  0.4,  0.4,  0.7, -56, -12, 23, 52, 49, 105,   0.91
3011,  0.5,  0.4,  1.0, 14, 7, 56, 47, 41, 115,   1.18
3113,  0.3,  0.0,  0.9, -35, -77, -22, 37, 3, 142,   0.94
3215,  0.1, -0.4,  0.8, -33, -82, -19, 17, -51, 125,   0.90
3318,  0.2, -0.6,  0.7, 8, -48, -18, 20, -81, 94,   0.97
3420,  0.0, -0.8,  0.6, -26, -39, -29, 5, -110, 68,   1.01
3522, -0.2, -0.9,  0.4, -41, -7, -30, -17, -124, 51,   0.98
3625, -0.4, -0.8,  0.4, -51, 18, -10, -49, -109, 46,   0.95
3727, -0.6, -0.7,  0.4, -42, 22, -6, -77, -86, 42,   0.97
3830, -0.8, -0.4,  0.3, -48, 59, -21, -124, -45, 30,   0.95
3932, -0.9, -0.2,  0.2, -12, 26, -14, -143, -28, 22,   0.95
4035, -1.0,  0.1,  0.2, -24, 63, -1, -158, 9, 19,   1.04
4137, -1.1,  0.2,  0.3, -23, 14, 19, -149, 15, 26,   1.17
4239, -1.0,  0.1,  0.4, 29, -11, 31, -133, 10, 45,   1.08
4342, -0.6, -0.0,  0.7, 71, -23, 62, -83, -1, 96,   0.96
4444, -0.4, -0.1,  0.9, 59, -13, 38, -42, -9, 136,   0.97
4546,  0.5,  0.0,  1.0, 169, 21, 18, 51, 2, 128,   1.09
4649,  0.3, -0.0,  0.8, -26, -10, -44, 48, -3, 131,   0.85
4751,  0.5,  0.2,  0.8, 27, 35, 9, 60, 18, 116,   0.96
4853,  0.7,  0.2,  0.8, 38, 10, 4, 75, 21, 100,   1.09
4955,  0.5,  0.1,  0.8, -32, -19, 0, 62, 12, 116,   0.99
5058,  0.3, -0.4,  0.7, -40, -90, -25, 42, -48, 113,   0.86
5160,  0.2, -0.7,  0.8, -23, -69, 7, 22, -84, 91,   1.05
5262,  0.2, -0.7,  0.7, -10, -6, -14, 17, -92, 84,   1.01
5365, -0.0, -0.8,  0.5, -32, -21, -37, 0, -117, 62,   0.98
5467, -0.1, -0.9,  0.3, -27, -22, -51, -15, -145, 30,   0.99
5570, -0.0, -0.9,  0.1, 23, 17, -32, -3, -165, 13,   0.87
5672, -1.3, -0.6,  0.4, -251, 61, 69, -121, -45, 35,   1.44
5775, -1.4, -0.6,  0.8, -30, -16, 78, -107, -42, 55,   1.74
5877, -0.0, -0.5,  0.1, 281, 23, -157, -5, -166, 12,   0.52
5980,  2.3,  0.1,  0.7, 476, 115, 142, 144, 3, 35,   2.43
6082, -1.9, -1.1, -0.2, -862, -237, -205, -117, -60, -12,   2.24
6185,  0.7, -0.1,  0.1, 525, 208, 80, 152, -13, 23,   0.68
6288, -0.6, -0.4,  1.1, -265, -53, 207, -56, -30, 114,   1.35
6390,  0.3, -0.4, -0.1, 188, -1, -265, 72, -97, -34,   0.47
6493, -1.3, -1.1,  0.6, -316, -142, 153, -91, -74, 39,   1.77
6596,  1.7, -0.8,  0.4, 605, 57, -51, 126, -48, 21,   1.90
6698, -1.3, -1.0,  0.9, -620, -49, 104, -90, -66, 53,   1.90
6801,  0.8, -0.6,  0.5, 445, 95, -76, 97, -59, 51,   1.12
